8/21/2019 3:53,41.0329,-70.9363,82.54,31.53,0.382,0,0,0,
8/24/2019 3:11,40.5159,-70.8844,108,22.88,0.212,0,0,0,
8/24/2019 9:08,40.7003,-70.9016,107.4,27.42,0.255,0,0,0,
8/23/2019 22:53,40.3613,-70.9322,83.71,20.31,0.243,0,0,0,
8/23/2019 16:00,40.1081,-70.8845,50.25,10.44,0.208,0,0,0,
8/21/2019 4:10,41.0299,-70.9932,95,42.59,0.448,0,0,0,
8/21/2019 3:21,41.0327,-70.8228,136.3,18.84,0.138,0,0,0,
8/22/2019 23:22,39.773,-70.9362,43.62,3.367,0.0772,0,0,0,
8/24/2019 9:20,40.6989,-70.9448,76.39,25.73,0.337,0,0,0,
8/24/2019 13:38,40.4158,-70.8932,65.04,-34.05,-0.524,0,0,1,
8/22/2019 22:18,39.7676,-70.7725,14.93,4.025,0.27,0,0,0,
8/22/2019 12:47,40.0949,-70.8841,29.51,6.928,0.235,0,0,0,
8/24/2019 12:08,40.6696,-70.8922,159.2,-121.9,-0.765,0,0,1,
8/24/2019 19:32,40.7596,-70.8764,164.8,-95.62,-0.58,0,0,1,
8/24/2019 16:23,40.5176,-70.8888,139.3,24.91,0.179,0,0,0,
8/24/2019 15:06,40.4206,-70.8931,162.7,20.67,0.127,0,0,0,
8/24/2019 21:36,40.9127,-70.8771,236.3,-115.2,-0.488,0,0,1,
8/22/2019 18:59,39.9399,-70.8523,25.9,3.76,0.145,0,0,0,
8/24/2019 18:03,40.6439,-70.8791,182.2,48.99,0.269,0,0,0,
8/22/2019 16:23,39.9981,-70.8846,10.08,17.31,1.72,0,0,1,
8/22/2019 20:30,39.8812,-70.7998,32.8,4.689,0.143,0,0,0,
8/23/2019 18:28,40.254,-70.8815,126.1,37.39,0.296,0,0,0,
8/22/2019 16:32,39.9762,-70.8838,27.12,3.905,0.144,0,0,0,
8/22/2019 17:29,39.9342,-70.8849,14.81,2.852,0.193,0,0,0,
8/24/2019 22:38,40.9877,-70.8816,172.2,-117.3,-0.681,0,0,1,
8/24/2019 0:06,40.3642,-71.1062,111.7,32.49,0.291,0,0,1,
8/22/2019 13:37,40.0854,-70.8996,32.13,6.781,0.211,0,0,0,
8/24/2019 20:55,40.8641,-70.8783,138.8,35.86,0.258,0,0,0,
