"datetime_utc","datetime_utc_matlab","latitude","longitude","toi_source","cast","niskin","depth","O2_Ar_delta","O2_Ar_ratio","D17","d17","d18"
2018-07-21 15:04:36,737262.61875,40.7007,-70.8785,"toi_niskin",8,6,34,-140.7405853,19.2707783294656,113.554,0.55877,0.860081
2018-07-21 15:10:25,737262.61875,40.7014,-70.8774,"toi_niskin",8,12,12,34.27336736,23.1958503491327,139.221,-0.418329,-1.07593
2018-07-21 15:12:54,737262.61875,40.7019,-70.8767,"toi_niskin",8,15,2,-43.90658689,21.4424932809584,73.0312,0.105515,0.0627601
2018-07-21 15:12:54,737262.61875,40.7019,-70.8767,"toi_niskin",8,15,2,-44.08871312,21.438408700509,70.5649,0.10078,0.0583807
2018-07-21 17:33:35,737262.724305556,40.5198,-70.8812,"toi_niskin",9,6,35,-90.53481515,20.3967529197569,101.889,0.305625,0.584402
2018-07-21 17:35:52,737262.724305556,40.5204,-70.8812,"toi_niskin",9,8,20,29.28634957,23.084005529382,137.814,-0.45003,-1.13436
2018-07-21 17:39:47,737262.724305556,40.5215,-70.8813,"toi_niskin",9,12,2,-5.563523073,22.3024206447429,74.256,-0.209958,-0.548598
2018-07-21 21:46:29,737262.902083333,40.3657,-70.7702,"toi_niskin",10,1,46,-224.0639975,17.4020679275883,73.3686,1.5624,2.87933
2018-07-21 21:48:43,737262.902083333,40.3662,-70.7695,"toi_niskin",10,3,17,22.79542452,22.9384322884587,111.508,-0.428772,-1.04262
2018-07-21 21:50:12,737262.902083333,40.3665,-70.769,"toi_niskin",10,5,3,-54.81115302,21.1979344514883,45.3048,0.149104,0.200466
2018-07-21 23:24:05,737262.970138889,40.3663,-70.9887,"toi_niskin",11,1,32,-210.3851774,17.708845491437,79.5536,1.43414,2.61903
2018-07-21 23:26:05,737262.970138889,40.3667,-70.9886,"toi_niskin",11,3,17,26.26744564,23.0162999826778,131.969,-0.480114,-1.18111
2018-07-21 23:27:53,737262.970138889,40.3669,-70.9889,"toi_niskin",11,5,3,-33.52642615,21.675291168561,62.4975,0.0108611,-0.0996712
2018-07-22 02:20:14,737263.088888889,40.3684,-70.8894,"toi_niskin",12,8,50,-216.0569682,17.5816431339557,94.732,1.50537,2.72754
2018-07-22 02:25:56,737263.088888889,40.3694,-70.8892,"toi_niskin",12,17,28,48.44090153,23.5135883986605,135.222,-0.504868,-1.23512
2018-07-22 02:28:00,737263.088888889,40.3697,-70.8893,"toi_niskin",12,21,3,-45.95343138,21.3965883007314,59.165,0.115466,0.108742
2018-07-21 20:03:00,737262.835416667,40.3688,-70.7773,"toi_underway",NA,NA,5,-45.33003359,21.4105693644435,53.1231,0.0815704,0.0549581
2018-07-21 22:26:00,737262.934722222,40.3651,-70.8438,"toi_underway",NA,NA,5,-56.47590325,21.1605987736855,59.5631,0.188407,0.248843
2018-07-21 22:35:59,737262.941666667,40.364,-70.8805,"toi_underway",NA,NA,5,-53.50511682,21.227225179841,65.3354,0.164252,0.19105
2018-07-21 22:50:59,737262.952083333,40.3631,-70.9359,"toi_underway",NA,NA,5,-49.02227166,21.3277628217751,49.8683,0.130251,0.155244
2018-07-22 00:44:00,737263.030555556,40.3583,-71.0987,"toi_underway",NA,NA,5,-43.48216067,21.4520119704984,57.3307,0.0969398,0.0765119
2018-07-22 05:16:58,737263.208333333,40.239,-70.8905,"toi_niskin",13,9,38,-185.5406186,18.2660392528756,67.4684,1.16993,2.13103
2018-07-22 05:20:34,737263.208333333,40.2401,-70.8895,"toi_niskin",13,14,21,23.3549474,22.9509808171176,122.101,-0.401067,-1.00961
2018-07-22 05:15:19,737263.208333333,40.2384,-70.891,"toi_niskin",13,7,3,-41.28111335,21.5013752876419,62.604,0.0683448,0.0111126
2018-07-22 09:27:00,737263.39375,40.1453,-70.7594,"toi_underway",NA,NA,5,-53.28318683,21.2322024469722,44.5514,0.125489,0.156313
2018-07-22 09:28:00,737263.394444444,40.1453,-70.7596,"toi_underway",NA,NA,5,-53.69818707,21.2228951557224,47.6167,0.126547,0.152442
2018-07-22 09:06:18,737263.373611111,40.1408,-70.7589,"toi_niskin",14,2,0,-283.1818934,16.0762193564777,37.3348,1.88867,3.58114
2018-07-22 09:12:19,737263.373611111,40.142,-70.7586,"toi_niskin",14,6,80,-233.4195828,17.1922483930283,63.6391,1.63812,3.04481
2018-07-22 09:15:10,737263.373611111,40.1425,-70.7584,"toi_niskin",14,8,61,-209.0727464,17.7382796372154,74.4046,1.45158,2.66274
2018-07-22 09:18:09,737263.373611111,40.1433,-70.7591,"toi_niskin",14,11,39,-126.0125574,19.6010866810944,105.726,0.742873,1.23106
