"cruise","datetime_utc","latitude","longitude","depth","temperature","salinity","biosat","O2_Ar_ratio"
"EN649",2020-02-01 00:51:07,41.4922,-71.4187,5,4.58748,0.386588,0.1165,20.4917
"EN649",2020-02-01 00:51:32,41.4922,-71.4187,5,4.58636,0.386547,0.08133,20.4845
"EN649",2020-02-01 00:51:58,41.4922,-71.4187,5,4.58519,0.386503,0.07937,20.4841
"EN649",2020-02-01 14:23:05,41.4834,-71.4076,5,4.10354,29.8865,-0.3776,20.3541
"EN649",2020-02-01 14:23:31,41.4827,-71.4076,5,4.16616,29.938,-0.3739,20.3545
"EN649",2020-02-01 14:23:56,41.482,-71.4076,5,4.22637,29.9876,-0.3581,20.3574
"EN649",2020-02-01 14:29:23,41.4734,-71.4088,5,4.27848,30.1406,-0.1453,20.4004
"EN649",2020-02-01 14:29:48,41.4727,-71.4089,5,4.28356,30.1737,-0.2097,20.3871
"EN649",2020-02-01 14:30:13,41.472,-71.409,5,4.29419,30.1992,-0.1605,20.3971
"EN649",2020-02-01 14:30:39,41.4713,-71.4091,5,4.31057,30.2184,-0.158,20.3975
"EN649",2020-02-01 14:31:04,41.4706,-71.4092,5,4.33305,30.2374,-0.08562,20.4122
"EN649",2020-02-01 14:31:29,41.4697,-71.4092,5,4.39084,30.2592,-0.1714,20.3944
"EN649",2020-02-01 14:31:54,41.4689,-71.4092,5,4.44863,30.2811,0.01368,20.4319
"EN649",2020-02-01 14:32:19,41.468,-71.4092,5,4.47767,30.3591,0.0009477,20.429
"EN649",2020-02-01 14:32:45,41.4671,-71.4092,5,4.49843,30.4587,0.132,20.4555
"EN649",2020-02-01 14:33:10,41.4662,-71.4092,5,4.49707,30.5085,0.08768,20.4464
"EN649",2020-02-01 14:33:35,41.4654,-71.4091,5,4.46373,30.4893,0.1717,20.4638
"EN649",2020-02-01 14:34:00,41.4645,-71.4091,5,4.4304,30.4701,0.03813,20.4367
"EN649",2020-02-01 14:34:26,41.4636,-71.4092,5,4.41294,30.4457,-0.01986,20.4249
"EN649",2020-02-01 14:34:51,41.4627,-71.4093,5,4.39614,30.4223,-0.09089,20.4105
"EN649",2020-02-01 14:35:16,41.4618,-71.4094,5,4.40562,30.4169,-0.101,20.4084
"EN649",2020-02-01 14:35:41,41.4609,-71.4094,5,4.42987,30.4216,-0.05605,20.4175
"EN649",2020-02-01 14:36:07,41.46,-71.4096,5,4.45913,30.4376,0.02036,20.433
"EN649",2020-02-01 14:36:32,41.4591,-71.4098,5,4.49779,30.482,0.0596,20.4407
"EN649",2020-02-01 14:36:57,41.4583,-71.41,5,4.53646,30.5264,0.0488,20.4383
"EN649",2020-02-01 14:37:22,41.4574,-71.4101,5,4.5554,30.5375,0.0745,20.4434
"EN649",2020-02-01 14:37:48,41.4565,-71.4103,5,4.5723,30.5443,-0.03661,20.4207
"EN649",2020-02-01 14:38:13,41.4556,-71.4105,5,4.57752,30.5567,-0.1103,20.4056
"EN649",2020-02-01 14:38:38,41.4548,-71.4106,5,4.57256,30.5746,-0.0408,20.4197
"EN649",2020-02-01 14:39:03,41.4539,-71.4107,5,4.57037,30.5883,-0.02848,20.4223
"EN649",2020-02-01 14:39:28,41.453,-71.4109,5,4.58845,30.5708,0.01126,20.4303
"EN649",2020-02-01 14:39:54,41.4521,-71.4111,5,4.60726,30.5525,0.08246,20.4448
"EN649",2020-02-01 14:40:17,41.4513,-71.4112,5,4.60273,30.5594,0.2341,20.4758
"EN649",2020-02-01 14:40:42,41.4504,-71.4112,5,4.58969,30.5757,0.137,20.456
"EN649",2020-02-01 14:41:07,41.4495,-71.4113,5,4.57656,30.5845,-0.04584,20.4187
"EN649",2020-02-01 14:41:32,41.4486,-71.4114,5,4.56318,30.5736,-0.08099,20.4116
"EN649",2020-02-01 14:41:57,41.4477,-71.4114,5,4.54981,30.5628,-0.1847,20.3905
"EN649",2020-02-01 14:42:23,41.4468,-71.4115,5,4.53536,30.5412,-0.3338,20.3601
"EN649",2020-02-01 14:42:46,41.4461,-71.4116,5,4.52252,30.5209,-0.2611,20.3751
"EN649",2020-02-01 14:43:11,41.4452,-71.4116,5,4.51615,30.5076,-0.11,20.406
"EN649",2020-02-01 14:43:36,41.4443,-71.4117,5,4.51944,30.5056,-0.06359,20.4154
"EN649",2020-02-01 14:44:02,41.4434,-71.4118,5,4.5231,30.5046,-0.06359,20.4154
"EN649",2020-02-01 14:44:27,41.4425,-71.4118,5,4.52935,30.5158,0.06056,20.4407
"EN649",2020-02-01 14:44:52,41.4416,-71.4119,5,4.5356,30.5271,0.08847,20.4464
"EN649",2020-02-01 14:45:17,41.4407,-71.412,5,4.55908,30.5417,0.1135,20.4514
"EN649",2020-02-01 14:45:42,41.4398,-71.412,5,4.59066,30.5579,0.1208,20.4527
"EN649",2020-02-01 14:46:08,41.4389,-71.4121,5,4.62319,30.5768,0.2207,20.4729
"EN649",2020-02-01 14:46:33,41.438,-71.4123,5,4.65377,30.5995,0.1532,20.459
"EN649",2020-02-01 14:46:58,41.4372,-71.4124,5,4.68435,30.6221,0.1198,20.452
"EN649",2020-02-01 14:47:23,41.4363,-71.4124,5,4.72805,30.6934,0.08928,20.4454
"EN649",2020-02-01 14:47:49,41.4355,-71.4125,5,4.77467,30.772,0.1349,20.4544
"EN649",2020-02-01 14:48:14,41.4347,-71.4121,5,4.77275,30.8047,0.06031,20.4392
"EN649",2020-02-01 14:48:39,41.4341,-71.4115,5,4.73408,30.8037,-0.04642,20.4175
"EN649",2020-02-01 14:49:04,41.4335,-71.4107,5,4.70204,30.8016,0.00309,20.4278
"EN649",2020-02-01 14:49:30,41.4331,-71.4098,5,4.7049,30.7931,-0.03044,20.4209
"EN649",2020-02-01 14:49:55,41.4327,-71.4088,5,4.70765,30.7849,-0.09251,20.4083
"EN649",2020-02-01 14:50:20,41.4322,-71.4078,5,4.69913,30.7862,-0.0742,20.412
"EN649",2020-02-01 14:50:45,41.4318,-71.4068,5,4.6878,30.7898,0.09903,20.4475
"EN649",2020-02-01 14:51:08,41.4314,-71.4059,5,4.69399,30.788,-0.01205,20.4248
"EN649",2020-02-01 14:51:34,41.4309,-71.4048,5,4.73619,30.7751,-0.04176,20.4185
"EN649",2020-02-01 14:51:59,41.4304,-71.4037,5,4.77678,30.7626,0.02439,20.4319
"EN649",2020-02-01 14:52:24,41.4298,-71.4025,5,4.78192,30.7711,0.06793,20.4407
"EN649",2020-02-01 14:52:49,41.4292,-71.4012,5,4.78559,30.7806,0.04823,20.4367
"EN649",2020-02-01 14:53:15,41.4285,-71.3999,5,4.79713,30.79,0.1096,20.4491
"EN649",2020-02-01 14:53:40,41.4279,-71.3986,5,4.81367,30.7988,0.1181,20.4508
"EN649",2020-02-01 14:54:05,41.4273,-71.3972,5,4.83401,30.8125,0.01017,20.4286
"EN649",2020-02-01 14:54:30,41.4267,-71.3959,5,4.86955,30.8454,-0.01662,20.423
"EN649",2020-02-01 14:54:56,41.4261,-71.3945,5,4.90651,30.8796,-0.0925,20.4072
"EN649",2020-02-01 14:55:21,41.4254,-71.3932,5,4.93257,30.9294,-0.09243,20.4071
"EN649",2020-02-01 14:55:46,41.4248,-71.3918,5,4.95682,30.9824,0.07337,20.4407
"EN649",2020-02-01 14:56:11,41.4241,-71.3905,5,4.95328,31.0129,0.1103,20.4483
"EN649",2020-02-01 14:56:37,41.4234,-71.3892,5,4.9128,31.0148,0.1103,20.4484
"EN649",2020-02-01 14:57:02,41.4227,-71.3879,5,4.87559,31.0168,0.1255,20.4517
"EN649",2020-02-01 14:57:27,41.4221,-71.3866,5,4.85796,31.0209,0.1135,20.4493
"EN649",2020-02-01 14:57:52,41.4214,-71.3852,5,4.84034,31.0249,-0.01849,20.4224
"EN649",2020-02-01 14:58:17,41.4207,-71.3839,5,4.84439,30.9964,0.004336,20.4271
"EN649",2020-02-01 14:58:43,41.4201,-71.3826,5,4.85921,30.9509,-0.01201,20.4238
"EN649",2020-02-01 14:59:08,41.4194,-71.3813,5,4.90813,30.951,0.01324,20.4287
"EN649",2020-02-01 14:59:33,41.4187,-71.3799,5,5.03071,31.0446,0.05326,20.4362
"EN649",2020-02-01 14:59:58,41.4181,-71.3785,5,5.15329,31.1382,0.07993,20.441
"EN649",2020-02-01 15:00:24,41.4174,-71.3771,5,5.19414,31.2587,0.06923,20.4384
"EN649",2020-02-01 15:00:49,41.4167,-71.3758,5,5.22647,31.3763,0.1142,20.4473
"EN649",2020-02-01 15:01:14,41.416,-71.3744,5,5.23151,31.4429,0.1076,20.4458
"EN649",2020-02-01 15:01:39,41.4154,-71.3731,5,5.21509,31.4694,0.07099,20.4384
"EN649",2020-02-01 15:02:04,41.4148,-71.3717,5,5.20267,31.4994,0.0547,20.4351
"EN649",2020-02-01 15:02:29,41.4141,-71.3703,5,5.21126,31.5481,0.04136,20.4322
