"cruise","datetime_utc","latitude","longitude","depth","temperature","salinity","biosat","O2_Ar_ratio"
"AT46",2022-02-16 17:12:05,41.2566,-70.8902,5,3.53924,32.6822,1.28,20.691
"AT46",2022-02-16 17:12:30,41.2551,-70.89,5,3.53869,32.6809,1.272,20.6895
"AT46",2022-02-16 17:12:55,41.2535,-70.89,5,3.53753,32.6797,1.297,20.6945
"AT46",2022-02-16 17:13:20,41.2518,-70.8899,5,3.53641,32.6785,1.363,20.708
"AT46",2022-02-16 17:13:43,41.2507,-70.8896,5,3.53576,32.6774,1.507,20.7374
"AT46",2022-02-16 17:14:08,41.2495,-70.8892,5,3.53506,32.6763,1.624,20.7613
"AT46",2022-02-16 17:14:34,41.2482,-70.889,5,3.53435,32.6782,1.677,20.7722
"AT46",2022-02-16 17:14:59,41.2469,-70.889,5,3.53368,32.6816,1.74,20.7851
"AT46",2022-02-16 17:15:24,41.2455,-70.8889,5,3.53357,32.685,1.771,20.7913
"AT46",2022-02-16 17:15:49,41.2439,-70.8885,5,3.53491,32.688,1.805,20.7983
"AT46",2022-02-16 17:16:14,41.2422,-70.8881,5,3.53624,32.6911,1.772,20.7916
"AT46",2022-02-16 17:16:40,41.2409,-70.888,5,3.53839,32.6925,1.925,20.8229
"AT46",2022-02-16 17:17:05,41.2396,-70.888,5,3.54056,32.6936,1.929,20.8237
"AT46",2022-02-16 17:17:30,41.2381,-70.8878,5,3.54275,32.6939,1.937,20.8253
"AT46",2022-02-16 17:17:55,41.2365,-70.8874,5,3.54496,32.6936,1.882,20.814
"AT46",2022-02-16 17:18:21,41.2348,-70.887,5,3.54731,32.6935,1.935,20.8249
"AT46",2022-02-16 17:18:46,41.2335,-70.887,5,3.5499,32.6945,1.849,20.8072
"AT46",2022-02-16 17:19:11,41.2323,-70.887,5,3.55248,32.6956,1.865,20.8106
"AT46",2022-02-16 17:19:36,41.2311,-70.8867,5,3.55497,32.6976,1.952,20.8283
"AT46",2022-02-16 17:20:01,41.2298,-70.8863,5,3.55743,32.6999,2.096,20.8577
"AT46",2022-02-16 17:20:26,41.2284,-70.886,5,3.56037,32.7016,2.19,20.8768
"AT46",2022-02-16 17:20:51,41.2267,-70.886,5,3.56416,32.702,2.228,20.8847
"AT46",2022-02-16 17:21:16,41.2251,-70.886,5,3.56795,32.7024,2.275,20.8941
"AT46",2022-02-16 17:21:42,41.2238,-70.8856,5,3.57068,32.7008,2.232,20.8853
"AT46",2022-02-16 17:22:07,41.2225,-70.8852,5,3.57327,32.6992,2.18,20.8748
"AT46",2022-02-16 17:22:32,41.221,-70.885,5,3.57627,32.6993,2.141,20.8667
"AT46",2022-02-16 17:22:57,41.2193,-70.885,5,3.57957,32.7004,2.122,20.8628
"AT46",2022-02-16 17:23:22,41.2177,-70.8849,5,3.58301,32.7021,2.185,20.8756
"AT46",2022-02-16 17:23:48,41.2165,-70.8845,5,3.58721,32.7059,2.281,20.8953
"AT46",2022-02-16 17:24:13,41.2152,-70.8841,5,3.59125,32.7097,2.306,20.9003
"AT46",2022-02-16 17:24:38,41.2139,-70.884,5,3.59831,32.7157,2.263,20.8916
"AT46",2022-02-16 17:25:03,41.2127,-70.884,5,3.60593,32.722,2.384,20.9162
"AT46",2022-02-16 17:25:29,41.2112,-70.8838,5,3.61444,32.7283,2.329,20.9049
"AT46",2022-02-16 17:25:54,41.2095,-70.8834,5,3.62327,32.7339,2.364,20.912
"AT46",2022-02-16 17:26:19,41.2079,-70.883,5,3.63255,32.7403,2.414,20.9223
"AT46",2022-02-16 17:26:44,41.2066,-70.883,5,3.64688,32.7552,2.487,20.9371
"AT46",2022-02-16 17:27:08,41.2055,-70.883,5,3.66064,32.7694,2.483,20.936
"AT46",2022-02-16 17:27:30,41.2041,-70.883,5,3.67479,32.778,2.62,20.9641
"AT46",2022-02-16 17:27:55,41.2025,-70.883,5,3.69208,32.7842,2.517,20.9428
"AT46",2022-02-16 17:28:21,41.2008,-70.883,5,3.71009,32.7901,2.55,20.9496
"AT46",2022-02-16 17:28:46,41.1995,-70.883,5,3.7275,32.7925,2.549,20.9494
"AT46",2022-02-16 17:29:11,41.1983,-70.883,5,3.74492,32.7949,2.486,20.9364
"AT46",2022-02-16 17:29:36,41.1974,-70.883,5,3.76303,32.8001,2.408,20.9202
"AT46",2022-02-16 17:30:02,41.1965,-70.883,5,3.7821,32.8065,2.489,20.9368
"AT46",2022-02-16 17:30:27,41.1958,-70.883,5,3.80085,32.8132,2.493,20.9374
"AT46",2022-02-16 17:30:52,41.1954,-70.883,5,3.82023,32.8208,2.626,20.9645
"AT46",2022-02-16 17:31:15,41.195,-70.883,5,3.83805,32.8279,2.689,20.9773
"AT46",2022-02-16 17:31:40,41.1946,-70.883,5,3.85827,32.833,2.709,20.9812
