"cruise","datetime_utc","datetime_utc_input","latitude_API","longitude_API","toi_source","cast","niskin","depth","depth_input","O2_Ar_delta","O2_Ar_ratio","cap_Delta_17O","d17O","d18O","iode_quality_flag"
"AR31A",2018-10-21 12:18:01,2018-10-21 12:17:00,40.6963333333333,-70.8838333333333,"toi_niskin","003",8,2.452,2.295,-91.185,20.3822,29.3,0.2213,0.3707,"1"
"AR31A",2018-10-21 14:21:50,2018-10-21 14:21:00,40.8631666666667,-70.8836666666667,"toi_niskin","004",8,3.092,3.048,-80.298,20.6263,35,0.1012,0.1278,"1"
"AR31A",2018-10-21 14:26:00,2018-10-21 14:26:00,NA,NA,"toi_underway",NA,NA,0,0,-108.93,19.9842,37.1,0.1407,0.2002,"1"
"AR31A",2018-10-21 16:26:46,2018-10-21 16:26:00,41.0311666666667,-70.8828333333333,"toi_niskin","005",8,3.227,3.065,-103.99,20.0949,35.9,0.05794,0.0425,"1"
"AR31A",2018-10-21 16:48:00,2018-10-21 16:48:00,NA,NA,"toi_underway",NA,NA,0,0,-118.02,19.7802,31.1,0.4203,0.7518,"1"
"AR31A",2018-10-21 17:53:53,2018-10-21 17:56:00,41.1965,-70.8831666666667,"toi_niskin","006",2,16.803,3.436,-111.46,19.9274,33.8,0.1544,0.233,"3"
"AR31A",2018-10-21 17:56:14,2018-10-21 17:56:00,41.1965,-70.8831666666667,"toi_niskin","006",4,3.436,2.655,-110.01,19.9599,45.5,0.1641,0.2291,"1"
"AR31A",2018-10-21 17:56:29,2018-10-21 17:56:00,41.1965,-70.8831666666667,"toi_niskin","006",5,2.655,3.411,-108.44,19.9951,33.8,0.143,0.2109,"1"
"AR31A",2018-10-21 19:12:00,2018-10-21 19:12:00,NA,NA,"toi_underway",NA,NA,0,0,-117.93,19.7823,23.7,0.4131,0.7523,"1"
"AR31A",2018-10-21 21:36:00,2018-10-21 21:36:00,NA,NA,"toi_underway",NA,NA,0,0,-140.61,19.2737,34.5,0.2741,0.4626,"1"
"AR31A",2018-10-22 12:00:00,2018-10-22 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-120.33,19.7286,35.8,0.5068,0.9099,"1"
"AR31A",2018-10-22 12:00:00,2018-10-22 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-108.57,19.9924,39.4,0.3756,0.6494,"1"
"AR31A",2018-10-22 12:00:00,2018-10-22 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-110.1,19.9581,32.8,0.3816,0.6737,"1"
"AR31A",2018-10-22 14:24:00,2018-10-22 14:24:00,NA,NA,"toi_underway",NA,NA,0,0,-109.78,19.9652,35.8,0.3725,0.6505,"1"
"AR31A",2018-10-22 14:24:00,2018-10-22 14:24:00,NA,NA,"toi_underway",NA,NA,0,0,-108.01,20.0048,33,0.3535,0.6191,"1"
"AR31A",2018-10-23 06:27:00,2018-10-23 06:27:00,NA,NA,"toi_underway",NA,NA,0,0,-101.89,20.142,34.3,0.2851,0.4844,"1"
"AR31A",2018-10-23 06:27:00,2018-10-23 06:27:00,NA,NA,"toi_underway",NA,NA,0,0,-103.83,20.0986,35.1,0.2945,0.501,"1"
"AR31A",2018-10-23 07:25:00,2018-10-23 07:25:00,NA,NA,"toi_underway",NA,NA,0,0,-105.65,20.0578,31.1,0.3175,0.5531,"1"
"AR31A",2018-10-23 08:23:00,2018-10-23 08:23:00,NA,NA,"toi_underway",NA,NA,0,0,-94.921,20.2984,34,0.143,0.2106,"1"
"AR31A",2018-10-23 08:25:00,2018-10-23 08:25:00,NA,NA,"toi_underway",NA,NA,0,0,-98.787,20.2117,29.7,0.1827,0.2956,"1"
"AR31A",2018-10-23 09:23:00,2018-10-23 09:23:00,NA,NA,"toi_underway",NA,NA,0,0,-96.094,20.2721,41.8,-0.04149,-0.1608,"1"
"AR31A",2018-10-23 09:25:00,2018-10-23 09:25:00,NA,NA,"toi_underway",NA,NA,0,0,-95.188,20.2924,35.8,-0.06155,-0.188,"1"
"AR31A",2018-10-23 10:22:00,2018-10-23 10:22:00,NA,NA,"toi_underway",NA,NA,0,0,-144.65,19.183,41.6,0.3286,0.5543,"1"
"AR31A",2018-10-23 10:24:00,2018-10-23 10:24:00,NA,NA,"toi_underway",NA,NA,0,0,-146.72,19.1367,37.4,0.333,0.5709,"1"
"AR31A",2018-10-23 12:00:00,2018-10-23 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-115.78,19.8306,38.3,0.4577,0.8102,"1"
"EN627",2019-02-01 21:46:49,2019-02-01 21:39:00,41.19767,-70.8809,"toi_niskin","3",2,11.756,0,-87.372,20.4677,10.5,0.2956,0.5506,"4"
"EN627",2019-02-01 21:54:47,2019-02-01 21:39:00,41.19844,-70.8797,"toi_niskin","3",7,2.136,5,-87.17,20.4722,24.6,0.3064,0.5444,"1"
"EN627",2019-02-02 01:25:00,2019-02-02 01:25:00,NA,NA,"toi_underway",NA,NA,0,0,-75.737,20.7286,21,0.197,0.34,"1"
"EN627",2019-02-02 01:43:00,2019-02-02 01:43:00,NA,NA,"toi_underway",NA,NA,0,0,-70.136,20.8542,23.9,0.1347,0.2139,"1"
"EN627",2019-02-02 02:24:58,2019-02-02 02:18:00,41.02792,-70.76138,"toi_niskin","5",2,2.86,5,-68.825,20.8836,17.4,0.1169,0.1922,"1"
"EN627",2019-02-02 03:00:00,2019-02-02 03:00:00,NA,NA,"toi_underway",NA,NA,0,0,NA,NA,22.2,0.1037,0.1573,"1"
"EN627",2019-02-02 03:15:00,2019-02-02 03:15:00,NA,NA,"toi_underway",NA,NA,0,0,-66.787,20.9293,12.8,0.09554,0.1597,"1"
"EN627",2019-02-02 03:34:00,2019-02-02 03:34:00,NA,NA,"toi_underway",NA,NA,0,0,-70.021,20.8568,25.3,0.1351,0.2121,"1"
"EN627",2019-02-02 04:11:17,2019-02-02 04:03:00,41.02375,-70.98886,"toi_niskin","6",2,2.119,5,-74.413,20.7583,23.5,0.1592,0.2621,"1"
"EN627",2019-02-02 04:56:00,2019-02-02 04:56:00,NA,NA,"toi_underway",NA,NA,0,0,-76.119,20.7201,21.8,0.1839,0.3129,"1"
"EN627",2019-02-02 05:12:00,2019-02-02 05:12:00,NA,NA,"toi_underway",NA,NA,0,0,-74.616,20.7538,18.4,0.1727,0.298,"1"
"EN627",2019-02-02 06:33:06,2019-02-02 06:29:00,41.02752,-70.88092,"toi_niskin","7",1,41.069,0,-83.501,20.5545,18.1,0.2377,0.4241,"4"
"EN627",2019-02-02 06:41:26,2019-02-02 06:29:00,41.02568,-70.87918,"toi_niskin","7",9,3.879,5,-69.092,20.8777,16.3,0.1149,0.1904,"1"
"EN627",2019-02-02 06:41:26,2019-02-02 06:29:00,41.02568,-70.87918,"toi_niskin","7",9,3.879,5,-69.213,20.8749,19.9,0.1364,0.2249,"1"
"EN627",2019-02-02 06:43:00,2019-02-02 06:43:00,NA,NA,"toi_underway",NA,NA,0,0,-70.08,20.8555,16.2,0.1409,0.2408,"1"
"EN627",2019-02-02 06:45:00,2019-02-02 06:45:00,NA,NA,"toi_underway",NA,NA,0,0,-70.249,20.8517,20.1,0.1428,0.2369,"1"
"EN627",2019-02-02 10:10:13,2019-02-02 10:02:00,40.8637,-70.8862,"toi_niskin","8",3,44.866,45,-84.134,20.5403,15.2,0.2372,0.4286,"1"
"EN627",2019-02-02 10:17:37,2019-02-02 10:02:00,40.8643,-70.88788,"toi_niskin","8",7,5.11,5,-85.988,20.4987,18.7,0.2611,0.4682,"1"
"EN627",2019-02-02 14:29:00,2019-02-02 14:29:00,NA,NA,"toi_underway",NA,NA,0,0,-97.571,20.239,14,0.412,0.7688,"1"
"EN627",2019-02-02 14:45:00,2019-02-02 14:45:00,NA,NA,"toi_underway",NA,NA,0,0,-93.968,20.3197,15.8,0.3776,0.699,"1"
"EN627",2019-02-02 15:18:47,2019-02-02 15:14:00,40.69296,-70.76806,"toi_niskin","9",1,59.801,60,-94.617,20.3052,13,0.3799,0.7087,"1"
"EN627",2019-02-02 15:23:35,2019-02-02 15:14:00,40.69208,-70.76662,"toi_niskin","9",7,4.945,5,-92.511,20.3524,9.5,0.3488,0.6553,"1"
"EN627",2019-02-02 15:53:00,2019-02-02 15:53:00,NA,NA,"toi_underway",NA,NA,0,0,-88.263,20.4477,9.29,0.2956,0.553,"1"
"EN627",2019-02-02 16:08:00,2019-02-02 16:08:00,NA,NA,"toi_underway",NA,NA,0,0,-87.627,20.462,7.75,0.2853,0.5361,"1"
"EN627",2019-02-02 16:25:00,2019-02-02 16:25:00,NA,NA,"toi_underway",NA,NA,0,0,-80.768,20.6158,15.3,0.2174,0.3904,"1"
"EN627",2019-02-02 17:02:06,2019-02-02 16:57:00,40.69418,-70.98621,"toi_niskin","10",1,59.265,59,-86.996,20.4761,19.7,0.2785,0.4998,"1"
"EN627",2019-02-02 17:06:15,2019-02-02 16:57:00,40.69404,-70.98485,"toi_niskin","10",3,5.377,5,-80.706,20.6172,18.7,0.2138,0.3768,"1"
"EN627",2019-02-02 17:36:00,2019-02-02 17:36:00,NA,NA,"toi_underway",NA,NA,0,0,-76.139,20.7196,19.5,0.1763,0.3028,"1"
"EN627",2019-02-02 17:51:00,2019-02-02 17:51:00,NA,NA,"toi_underway",NA,NA,0,0,-75.356,20.7372,22.5,0.1684,0.2818,"1"
"EN627",2019-02-02 20:05:18,2019-02-02 19:51:00,40.6977,-70.88093,"toi_niskin","12",1,61.745,61,-88.153,20.4502,9.85,0.287,0.5352,"1"
"EN627",2019-02-02 20:05:18,2019-02-02 19:59:00,40.6977,-70.88093,"toi_niskin","12",1,61.745,61,-87.882,20.4563,12.5,0.2913,0.5383,"1"
"EN627",2019-02-02 20:07:22,2019-02-02 19:59:00,40.69784,-70.8802,"toi_niskin","12",3,45.436,45,-85.121,20.5182,16,0.2663,0.4834,"1"
"EN627",2019-02-02 20:09:21,2019-02-02 19:59:00,40.69792,-70.87955,"toi_niskin","12",5,30.546,30,-80.364,20.6249,22.6,0.2151,0.3719,"1"
"EN627",2019-02-02 20:11:19,2019-02-02 19:59:00,40.69802,-70.87882,"toi_niskin","12",7,15.496,15,-80.065,20.6316,15.2,0.2134,0.3829,"1"
"EN627",2019-02-02 20:12:00,2019-02-02 20:12:00,NA,NA,"toi_underway",NA,NA,0,0,-81.795,20.5928,27.4,0.2319,0.395,"1"
"EN627",2019-02-02 20:13:23,2019-02-02 19:51:00,40.6981,-70.8781,"toi_niskin","12",9,3.139,5,-80.22,20.6281,17.8,0.2007,0.3534,"1"
"EN627",2019-02-02 20:13:23,2019-02-02 19:59:00,40.6981,-70.8781,"toi_niskin","12",9,3.139,5,-80.561,20.6204,22.7,0.2115,0.3647,"1"
"EN627",2019-02-02 20:14:00,2019-02-02 20:14:00,NA,NA,"toi_underway",NA,NA,0,0,-81.218,20.6057,17.3,0.2227,0.3968,"1"
"EN627",2019-02-02 23:34:22,2019-02-02 23:26:00,40.50694,-70.87928,"toi_niskin","13",3,45.188,45,-97.79,20.234,10.4,0.4154,0.7823,"1"
"EN627",2019-02-02 23:36:51,2019-02-02 23:26:00,40.50638,-70.87874,"toi_niskin","13",5,29.568,30,-97.923,20.2311,20.2,0.4204,0.7729,"1"
"EN627",2019-02-02 23:40:37,2019-02-02 23:26:00,40.5054,-70.8776,"toi_niskin","13",9,3.8,5,-97.22,20.2468,13.6,0.4055,0.757,"1"
"EN627",2019-02-03 04:59:00,2019-02-03 04:59:00,NA,NA,"toi_underway",NA,NA,0,0,-94.324,20.3118,18,0.4088,0.7549,"1"
"EN627",2019-02-03 05:23:00,2019-02-03 05:23:00,NA,NA,"toi_underway",NA,NA,0,0,-90.813,20.3905,12.7,0.4043,0.7565,"1"
"EN627",2019-02-03 06:20:58,2019-02-03 06:10:00,40.35127,-70.76679,"toi_niskin","14",1,5.83,5,-90.93,20.3879,19.2,0.3754,0.688,"1"
"EN627",2019-02-03 07:10:00,2019-02-03 07:10:00,NA,NA,"toi_underway",NA,NA,0,0,-88.195,20.4492,16.9,0.3717,0.6853,"1"
"EN627",2019-02-03 07:27:00,2019-02-03 07:27:00,NA,NA,"toi_underway",NA,NA,0,0,-85.166,20.5172,16.3,0.3561,0.6564,"1"
"EN627",2019-02-03 07:48:00,2019-02-03 07:48:00,NA,NA,"toi_underway",NA,NA,0,0,-82.057,20.5869,13.6,0.3236,0.5987,"1"
"EN627",2019-02-03 08:27:15,2019-02-03 08:18:00,40.36106,-70.99762,"toi_niskin","15",1,4.342,5,-84.48,20.5325,13.6,0.3162,0.5845,"1"
"EN627",2019-02-03 09:16:00,2019-02-03 09:16:00,NA,NA,"toi_underway",NA,NA,0,0,-88.454,20.4434,12.5,0.3714,0.6932,"1"
"EN627",2019-02-03 10:56:47,2019-02-03 10:47:00,40.36296,-70.88958,"toi_niskin","16",4,60.169,60,-99.59,20.1937,19,0.4525,0.8374,"1"
"EN627",2019-02-03 10:59:04,2019-02-03 10:47:00,40.36319,-70.89021,"toi_niskin","16",6,43.679,43,-87.366,20.4678,19.5,0.3475,0.6335,"1"
"EN627",2019-02-03 11:04:06,2019-02-03 10:47:00,40.3637,-70.8916,"toi_niskin","16",10,5.591,5,-85.518,20.5093,13,0.348,0.647,"1"
"EN627",2019-02-03 11:06:00,2019-02-03 11:06:00,NA,NA,"toi_underway",NA,NA,0,0,-91.291,20.3798,16.6,0.3867,0.7149,"1"
"EN627",2019-02-03 14:05:26,2019-02-03 13:51:00,40.22898,-70.8844,"toi_niskin","17",4,64.462,65,-97.737,20.2352,18.8,0.4109,0.7576,"1"
"EN627",2019-02-03 14:08:21,2019-02-03 13:51:00,40.22884,-70.88386,"toi_niskin","17",6,51.606,51,-92.468,20.3534,31.5,0.3621,0.6386,"1"
"EN627",2019-02-03 14:15:25,2019-02-03 13:51:00,40.22882,-70.88262,"toi_niskin","17",10,4.85,5,-77.409,20.6911,16.8,0.2288,0.4094,"1"
"EN627",2019-02-03 18:00:28,2019-02-03 17:42:00,40.13492,-70.76289,"toi_niskin","19",4,74.971,75,-128.45,19.5464,25.3,0.6307,1.17,"1"
"EN627",2019-02-03 18:02:36,2019-02-03 17:42:00,40.13494,-70.76274,"toi_niskin","19",5,55.103,55,-101.24,20.1566,20.1,0.4294,0.7905,"1"
"EN627",2019-02-03 18:05:22,2019-02-03 17:42:00,40.13496,-70.76252,"toi_niskin","19",6,40.09,40,-95.919,20.276,7.62,0.3901,0.7389,"1"
"EN627",2019-02-03 18:08:00,2019-02-03 18:08:00,NA,NA,"toi_underway",NA,NA,0,0,-83.683,20.5504,18.3,0.3023,0.5485,"1"
"EN627",2019-02-03 18:09:53,2019-02-03 17:42:00,40.1349,-70.76216,"toi_niskin","19",10,2.918,0,-81.584,20.5975,20.8,0.2851,0.5105,"4"
"EN627",2019-02-03 18:09:53,2019-02-03 17:42:00,40.1349,-70.76216,"toi_niskin","19",10,2.918,5,-81.28,20.6043,14.5,0.2715,0.4964,"1"
"EN627",2019-02-03 18:10:00,2019-02-03 18:10:00,NA,NA,"toi_underway",NA,NA,0,0,-83.579,20.5528,21,0.3025,0.5436,"1"
"EN627",2019-02-03 20:57:00,2019-02-03 20:57:00,NA,NA,"toi_underway",NA,NA,0,0,-72.064,20.811,18.6,0.1547,0.2627,"1"
"EN627",2019-02-03 21:55:21,2019-02-03 21:43:00,40.10042,-70.77104,"toi_niskin","20",1,34.693,35,-87.983,20.454,12.4,0.3316,0.6165,"1"
"EN627",2019-02-03 21:58:30,2019-02-03 21:43:00,40.10084,-70.77092,"toi_niskin","20",4,2.399,5,-74.673,20.7525,17.4,0.2039,0.3602,"1"
"EN627",2019-02-03 22:31:00,2019-02-03 22:31:00,NA,NA,"toi_underway",NA,NA,0,0,-71.097,20.8327,14,0.1704,0.3019,"1"
"EN627",2019-02-03 22:46:00,2019-02-03 22:46:00,NA,NA,"toi_underway",NA,NA,0,0,-68.316,20.8951,28.4,0.1226,0.1818,"1"
"EN627",2019-02-03 23:01:00,2019-02-03 23:01:00,NA,NA,"toi_underway",NA,NA,0,0,-76.741,20.7061,19.3,0.2259,0.3989,"1"
"EN627",2019-02-03 23:41:04,2019-02-03 23:29:00,40.09954,-70.98866,"toi_niskin","21",1,49.966,50,-93.089,20.3395,16.4,0.3011,0.5498,"1"
"EN627",2019-02-03 23:45:18,2019-02-03 23:29:00,40.09984,-70.98784,"toi_niskin","21",4,1.584,5,-67.944,20.9034,17.8,0.09426,0.1477,"1"
"EN627",2019-02-04 00:27:00,2019-02-04 00:27:00,NA,NA,"toi_underway",NA,NA,0,0,-73.545,20.7778,26.9,0.1983,0.3311,"1"
"EN627",2019-02-04 00:42:00,2019-02-04 00:42:00,NA,NA,"toi_underway",NA,NA,0,0,-72.871,20.7929,18.8,0.1805,0.3123,"1"
"EN627",2019-02-04 02:13:12,2019-02-04 01:52:00,40.09794,-70.88097,"toi_niskin","22",8,25.38,25,-73.492,20.779,30,0.1793,0.2883,"1"
"EN627",2019-02-04 02:17:03,2019-02-04 01:52:00,40.09796,-70.88002,"toi_niskin","22",11,2.544,5,-67.695,20.909,20.2,0.1302,0.2125,"1"
"EN627",2019-02-04 07:15:20,2019-02-04 06:40:00,39.93812,-70.88557,"toi_niskin","24",7,19.895,20,-65.677,20.9542,18.7,0.107,0.1706,"1"
"EN627",2019-02-04 07:17:19,2019-02-04 06:40:00,39.93808,-70.88574,"toi_niskin","24",8,13.001,13,-65.942,20.9483,21,0.1141,0.1799,"1"
"EN627",2019-02-04 07:19:28,2019-02-04 06:42:00,39.93808,-70.88588,"toi_niskin","24",10,4.851,5,-67.738,20.908,17.6,0.1368,0.2301,"1"
"EN627",2019-02-04 13:20:36,2019-02-04 12:47:00,39.77826,-70.89104,"toi_niskin","26",7,29.961,30,-58.638,21.1121,24.4,0.01971,-0.009133,"1"
"EN627",2019-02-04 13:22:59,2019-02-04 12:47:00,39.77824,-70.89155,"toi_niskin","26",9,13.128,13,-64.525,20.9801,22.3,0.09102,0.1328,"1"
"EN627",2019-02-04 13:25:10,2019-02-04 12:47:00,39.77818,-70.892,"toi_niskin","26",12,4.991,5,-64.36,20.9838,24.9,0.0982,0.1416,"1"
"EN627",2019-02-04 14:49:00,2019-02-04 14:49:00,NA,NA,"toi_underway",NA,NA,0,0,-48.506,21.3393,33.4,-0.07769,-0.2145,"1"
"EN627",2019-02-04 15:05:00,2019-02-04 15:05:00,NA,NA,"toi_underway",NA,NA,0,0,-49.255,21.3226,31.8,-0.05793,-0.1732,"1"
"EN627",2019-02-04 15:51:43,2019-02-04 15:27:00,39.77314,-70.7754,"toi_niskin","27",1,24.059,24,-79.951,20.6341,20.4,0.2519,0.4472,"1"
"EN627",2019-02-04 15:53:55,2019-02-04 15:27:00,39.77308,-70.77542,"toi_niskin","27",3,13.957,14,-67.848,20.9056,23.7,0.1373,0.2194,"1"
"EN627",2019-02-04 15:56:09,2019-02-04 15:27:00,39.77302,-70.77542,"toi_niskin","27",5,5.016,5,-59.707,21.0881,29,0.05743,0.0549,"1"
"EN627",2019-02-04 16:20:00,2019-02-04 16:20:00,NA,NA,"toi_underway",NA,NA,0,0,-65.057,20.9682,23.5,0.1197,0.1858,"1"
"EN627",2019-02-04 16:34:00,2019-02-04 16:34:00,NA,NA,"toi_underway",NA,NA,0,0,-56.694,21.1557,27.2,0.0143,-0.02492,"1"
"EN627",2019-02-04 16:49:00,2019-02-04 16:49:00,NA,NA,"toi_underway",NA,NA,0,0,-54.311,21.2091,34,-0.008385,-0.08176,"1"
"EN627",2019-02-04 17:41:12,2019-02-04 17:17:00,39.77725,-70.99254,"toi_niskin","28",1,35.25,35,-81.979,20.5886,23.8,0.2793,0.4936,"1"
"EN627",2019-02-04 17:44:00,2019-02-04 17:17:00,39.77764,-70.99296,"toi_niskin","28",2,10.062,10,-55.939,21.1726,25.2,0.01077,-0.02791,"1"
"EN627",2019-02-04 17:45:49,2019-02-04 17:17:00,39.77788,-70.99316,"toi_niskin","28",3,4.94,5,-51.736,21.2669,33.5,-0.01589,-0.09533,"1"
"EN627",2019-02-04 18:15:00,2019-02-04 18:15:00,NA,NA,"toi_underway",NA,NA,0,0,-50.52,21.2942,30.6,-0.0342,-0.1251,"1"
"EN627",2019-02-04 18:29:00,2019-02-04 18:29:00,NA,NA,"toi_underway",NA,NA,0,0,-45.437,21.4082,28.5,-0.1004,-0.2488,"1"
"EN627",2019-02-05 03:20:22,2019-02-05 02:42:00,39.7787,-70.52544,"toi_niskin","29",12,1.829,5,-143.3,19.2133,18.8,0.6461,1.212,"1"
"EN627",2019-02-05 06:39:56,2019-02-05 06:13:00,39.779,-70.88598,"toi_niskin","30",6,4.855,5,-64.705,20.976,26.7,0.1048,0.1509,"1"
"EN627",2019-02-05 06:40:00,2019-02-05 06:40:00,NA,NA,"toi_underway",NA,NA,0,0,-63.126,21.0114,23.3,0.09069,0.1302,"1"
"EN627",2019-02-05 07:50:19,2019-02-05 07:24:00,39.86272,-70.88267,"toi_niskin","31",1,5.155,5,-54.457,21.2059,16.4,-0.004614,-0.04061,"1"
"EN627",2019-02-05 07:50:19,2019-02-05 07:24:00,39.86272,-70.88267,"toi_niskin","31",1,5.155,5,-54.738,21.1996,18.5,-0.001749,-0.03909,"1"
"EN627",2019-02-05 07:51:00,2019-02-05 07:51:00,NA,NA,"toi_underway",NA,NA,0,0,-54.364,21.208,23.2,0.001022,-0.04279,"1"
"EN627",2019-02-05 07:52:00,2019-02-05 07:52:00,NA,NA,"toi_underway",NA,NA,0,0,-55.476,21.183,19.8,0.01821,-0.003068,"1"
"EN627",2019-02-05 08:55:48,2019-02-05 08:33:00,39.94612,-70.88096,"toi_niskin","32",1,5.196,5,-52.68,21.2457,26.7,-0.0149,-0.08039,"1"
"EN627",2019-02-05 10:06:39,2019-02-05 09:43:00,39.94046,-70.77374,"toi_niskin","33",1,4.928,5,-74.739,20.751,21.4,0.2066,0.3577,"1"
"EN627",2019-02-05 12:44:03,2019-02-05 12:32:00,40.10335,-70.8877,"toi_niskin","35",1,4.708,5,-60.074,21.0799,28.4,0.05499,0.05137,"1"
"EN627",2019-02-05 14:50:08,2019-02-05 14:38:00,40.23103,-70.8839,"toi_niskin","37",1,4.731,5,-64.893,20.9718,17.9,0.105,0.1682,"1"
"EN627",2019-02-05 16:09:28,2019-02-05 15:59:00,40.36462,-70.88888,"toi_niskin","38",1,5.871,5,-90.759,20.3917,17.4,0.3829,0.7059,"1"
"EN627",2019-02-05 19:14:12,2019-02-05 19:04:00,40.51343,-70.88582,"toi_niskin","40",4,2.551,5,-78.993,20.6556,19.5,0.2283,0.4033,"1"
"EN627",2019-02-05 21:24:58,2019-02-05 21:16:00,40.693,-70.87644,"toi_niskin","41",1,2.23,5,-63.929,20.9935,15.6,0.04199,0.05091,"1"
"EN627",2019-02-05 22:58:43,2019-02-05 22:51:00,40.85919,-70.88453,"toi_niskin","42",1,1.672,5,-65.232,20.9642,9.75,0.08498,0.1453,"1"
"EN627",2019-02-06 00:27:22,2019-02-06 00:21:00,41.02772,-70.88425,"toi_niskin","43",1,2.143,5,-62.248,21.0311,15.2,0.03316,0.03472,"1"
"EN627",2019-02-06 01:47:07,2019-02-06 01:42:00,41.19505,-70.88275,"toi_niskin","44",1,3.581,5,-74.061,20.7662,22,0.1299,0.2083,"1"
"EN627",2019-02-06 04:30:00,2019-02-06 04:30:00,NA,NA,"toi_underway",NA,NA,0,0,-76.107,20.7203,19.5,0.2053,0.3588,"1"
"EN627",2019-02-06 04:31:00,2019-02-06 04:31:00,NA,NA,"toi_underway",NA,NA,0,0,-76.49,20.7117,26.9,0.2122,0.3578,"1"
"EN627",2019-02-06 04:31:05,2019-02-06 04:23:00,41.31926,-70.57312,"toi_niskin","45",11,2.139,5,-76.549,20.7104,14.4,0.1971,0.3528,"1"
"EN627",2019-02-06 04:31:05,2019-02-06 04:23:00,41.31926,-70.57312,"toi_niskin","45",11,2.139,5,-76.45,20.7126,14.8,0.2011,0.3598,"1"
"EN627",2019-02-06 06:54:00,2019-02-06 06:54:00,NA,NA,"toi_underway",NA,NA,0,0,-72.308,20.8055,20.4,0.09796,0.1497,"1"
"AR34B",2019-04-15 01:50:12,2019-04-15 01:50:00,40.365,-70.7755,"toi_niskin","001",9,1.873,1.873,10.083,22.6533,59.9,-0.505,-1.09,"1"
"AR34B",2019-04-15 01:50:12,2019-04-15 01:50:00,40.365,-70.7755,"toi_niskin","001",9,1.873,1.873,10.452,22.6616,59,-0.5353,-1.147,"1"
"AR34B",2019-04-15 06:39:18,2019-04-15 06:39:00,40.8643333333333,-70.8826666666667,"toi_niskin","003",6,5.456,5.456,-102.98,20.1176,14.6,0.5203,0.977,"1"
"AR34B",2019-04-15 08:19:16,2019-04-15 08:19:00,41.0308333333333,-70.8813333333333,"toi_niskin","004",6,5.568,5.568,-77.848,20.6813,15.7,0.2529,0.4581,"1"
"AR34B",2019-04-15 09:56:48,2019-04-15 09:56:00,41.197,-70.8826666666667,"toi_niskin","005",3,5.328,5.328,-97.907,20.2314,20.3,0.4232,0.7784,"1"
"AR34B",2019-04-17 06:23:41,2019-04-17 06:23:00,40.5138333333333,-70.8823333333333,"toi_niskin","007",7,5.125,5.125,-108.92,19.9845,26.6,0.5631,1.036,"1"
"AR34B",2019-04-17 08:06:27,2019-04-17 08:06:00,40.3636666666667,-70.8838333333333,"toi_niskin","008",7,5.546,5.546,-48.58,21.3377,27.3,0.01158,-0.03041,"1"
"AR34B",2019-04-22 05:33:26,2019-04-22 04:34:00,40.0988333333333,-70.884,"toi_niskin","018",15,7.83,2.143,-32.803,21.6915,35.1,-0.176,-0.4074,"3"
"EN644",2019-08-20 19:10:32,2019-08-20 19:02:00,41.19684,-70.87932,"toi_niskin","001",1,17.847,18,-101.36,20.1539,122,-0.252,-0.7223,"1"
"EN644",2019-08-20 19:13:07,2019-08-20 19:02:00,41.19688,-70.8787,"toi_niskin","001",6,12.637,13,-34.741,21.6481,99.8,-0.2999,-0.7715,"1"
"EN644",2019-08-20 19:17:48,2019-08-20 19:02:00,41.19686,-70.87768,"toi_niskin","001",16,2.439,5,-34.385,21.656,77.8,-0.5926,-1.294,"1"
"EN644",2019-08-21 00:44:32,2019-08-21 00:35:00,41.02398,-70.87172,"toi_niskin","002",10,17.928,18,-180,18.3903,124,0.2598,0.2633,"1"
"EN644",2019-08-21 00:46:14,2019-08-21 00:35:00,41.02386,-70.87162,"toi_niskin","002",12,10.091,10,-71.287,20.8284,134,-0.5016,-1.227,"1"
"EN644",2019-08-21 00:48:00,2019-08-21 00:48:00,NA,NA,"toi_underway",NA,NA,2,2,-28.754,21.7823,109,-0.7555,-1.667,"4"
"EN644",2019-08-21 00:48:09,2019-08-21 00:35:00,41.0237,-70.87156,"toi_niskin","002",14,1.708,5,-43.76,21.4458,104,-0.5819,-1.323,"1"
"EN644",2019-08-21 00:48:09,2019-08-21 00:35:00,41.0237,-70.87156,"toi_niskin","002",14,1.708,5,-44.576,21.4275,102,-0.5737,-1.304,"1"
"EN644",2019-08-21 00:50:00,2019-08-21 00:50:00,NA,NA,"toi_underway",NA,NA,0,0,-28.775,21.7818,117,-0.7497,-1.671,"1"
"EN644",2019-08-21 02:02:00,2019-08-21 02:02:00,NA,NA,"toi_underway",NA,NA,0,0,21.013,22.8985,76.9,-0.8522,-1.792,"1"
"EN644",2019-08-21 02:22:00,2019-08-21 02:22:00,NA,NA,"toi_underway",NA,NA,0,0,-3.1501,22.3565,71.1,-0.6603,-1.411,"1"
"EN644",2019-08-21 02:36:00,2019-08-21 02:36:00,NA,NA,"toi_underway",NA,NA,0,0,-13.132,22.1327,89.1,-0.5593,-1.251,"1"
"EN644",2019-08-21 03:21:00,2019-08-21 03:21:00,NA,NA,"toi_underway",NA,NA,0,0,-46.448,21.3855,78,-0.3455,-0.8172,"1"
