"","datetime_utc_matlab","O2_Ar_delta","O2_Ar_ratio","depth_matlab","cap_Delta_17O","d17O","d18O","niskin","cruise","toi_source","depth","cast","depth_API","datetime_utc_API","latitude_API","longitude_API","datetime_utc","cruise_t0","cruise_day","time_diff","time_diff_min","depth_diff","reason"
"24",2019-08-23 23:45:00,-78.357,20.6699,19,40.4,0.1308,0.1746,1,"EN644","toi_niskin",23.421,20,23.421,2019-08-23 23:24:13,40.3625,-70.99508,2019-08-23 23:24:13,2019-08-20 19:17:48,3.17112268518519,NA,NA,NA,"incorrect cast start time"
"25",2019-08-24 23:16:00,-55.404,21.1846,2,49.5,-0.1349,-0.3559,5,"EN644","toi_niskin",NA,26,NA,NA,NA,NA,NA,2019-08-20 19:17:48,NA,NA,NA,NA,"incorrect cast start time"
"26",2019-08-24 23:16:00,-38.002,21.5749,15,144,-0.4088,-1.067,3,"EN644","toi_niskin",11.238,26,11.238,2019-08-25 00:09:57,41.06016,-70.88105,2019-08-25 00:09:57,2019-08-20 19:17:48,4.20288194444444,NA,NA,NA,"incorrect cast start time"
"27",2018-07-23 12:59:00,-55.557,21.1812,5,41,0.1474,0.2055,19,"EN617","toi_niskin",4.622,21,4.622,2018-07-23 14:04:05,39.76378,-70.85765,2018-07-23 14:04:05,2018-07-20 17:33:17,2.85472222222222,-3905,65.08,NA,"large time difference"
"28",2018-07-23 12:59:00,-55.361,21.1856,5,44.5,0.1522,0.2081,19,"EN617","toi_niskin",4.622,21,4.622,2018-07-23 14:04:05,39.76378,-70.85765,2018-07-23 14:04:05,2018-07-20 17:33:17,2.85472222222222,-3905,65.08,NA,"large time difference"
"29",2018-02-02 09:10:00,-95.007,20.2964,55,11.2,0.3672,0.6876,12,"EN608","toi_niskin",35.265,12,35.265,2018-02-02 09:28:04,40.35675,-70.88002,2018-02-02 09:28:04,2018-01-31 19:37:20,1.57689814814815,-1084,18.07,19.735,"large depth difference"
"30",2018-07-21 14:51:00,-140.74,19.2708,34,114,0.5588,0.8601,6,"EN617","toi_niskin",24.629,8,24.629,2018-07-21 15:04:36,40.70063,-70.87856,2018-07-21 15:04:36,2018-07-20 17:33:17,0.896747685185185,-816,13.6,9.371,"large depth difference"
"31",2018-07-22 02:08:00,-216.06,17.5816,50,94.7,1.505,2.728,8,"EN617","toi_niskin",40.272,12,40.272,2018-07-22 02:20:14,40.36838,-70.88932,2018-07-22 02:20:14,2018-07-20 17:33:17,1.3659375,-734,12.23,9.728,"large depth difference"
"32",2018-07-22 02:08:00,48.441,23.5136,28,135,-0.5049,-1.235,17,"EN617","toi_niskin",14.538,12,14.538,2018-07-22 02:25:56,40.36938,-70.88922,2018-07-22 02:25:56,2018-07-20 17:33:17,1.36989583333333,-1076,17.93,13.462,"large depth difference"
"33",2018-07-22 05:00:00,-41.281,21.5014,3,62.6,0.06834,0.01111,7,"EN617","toi_niskin",55.346,13,55.346,2018-07-22 05:15:19,40.23852,-70.89093,2018-07-22 05:15:19,2018-07-20 17:33:17,1.48752314814815,-919,15.32,-52.346,"large depth difference"
"34",2018-07-22 08:58:00,-283.18,16.0762,0,37.3,1.889,3.581,2,"EN617","toi_niskin",128.995,14,128.995,2018-07-22 09:06:18,40.14082,-70.75892,2018-07-22 09:06:18,2018-07-20 17:33:17,1.64792824074074,-498,8.3,-128.995,"large depth difference"
"35",2018-10-21 17:56:00,-111.46,19.9274,3.436,33.8,0.1544,0.233,2,"AR31A","toi_niskin",16.803,6,16.803,2018-10-21 17:53:53,41.1965,-70.8831666666667,2018-10-21 17:53:53,2018-10-21 08:03:28,0.410011574074074,127,2.12,-13.367,"large depth difference"
"36",2019-02-01 21:39:00,-87.372,20.4677,0,10.5,0.2956,0.5506,2,"EN627","toi_niskin",11.756,3,11.756,2019-02-01 21:46:49,41.19767,-70.8809,2019-02-01 21:46:49,2019-02-01 21:54:47,-0.00553240740740741,-469,7.82,-11.756,"large depth difference"
"37",2019-02-02 06:29:00,-83.501,20.5545,0,18.1,0.2377,0.4241,1,"EN627","toi_niskin",41.069,7,41.069,2019-02-02 06:33:06,41.02752,-70.88092,2019-02-02 06:33:06,2019-02-01 21:54:47,0.35994212962963,-246,4.1,-41.069,"large depth difference"
"38",2018-07-24 15:33:00,-63.147,21.011,0,50.2,0.2445,0.3754,9,"EN617","toi_niskin",NA,29,NA,NA,NA,NA,NA,2018-07-20 17:33:17,NA,NA,NA,NA,"Niskin not found in API"
"39",2019-02-03 17:42:00,-81.584,20.5975,0,20.8,0.2851,0.5105,10,"EN627","toi_niskin",2.918,19,2.918,2019-02-03 18:09:53,40.1349,-70.76216,2019-02-03 18:09:53,2019-02-01 21:54:47,1.84381944444444,-1673,27.88,-2.918,"Niskin with provided depth = 0"
"40",2018-02-01 17:31:00,-77.548,20.688,4.5,17,0.2337,0.4186,NA,"EN608","toi_underway",4.5,NA,NA,NA,40.6919,-71.0979,2018-02-01 17:31:00,2018-01-31 19:37:20,0.912268518518519,NA,NA,NA,"non-zero depth provided for underway sample"
"41",2018-02-01 18:12:00,-77.578,20.6873,9.3,19.6,0.2399,0.4254,NA,"EN608","toi_underway",9.3,NA,NA,NA,40.6905,-71.0382,2018-02-01 18:12:00,2018-01-31 19:37:20,0.940740740740741,NA,NA,NA,"non-zero depth provided for underway sample"
"42",2018-02-03 03:50:00,-86.215,20.4936,9,19.5,0.3118,0.5646,NA,"EN608","toi_underway",9,NA,NA,NA,40.0995,-71.0052,2018-02-03 03:50:00,2018-01-31 19:37:20,2.34212962962963,NA,NA,NA,"non-zero depth provided for underway sample"
"43",2019-08-21 00:48:00,-28.754,21.7823,2,109,-0.7555,-1.667,NA,"EN644","toi_underway",2,NA,NA,NA,41.0237,-70.8716,2019-08-21 00:48:00,2019-08-20 19:17:48,0.229305555555556,NA,NA,NA,"non-zero depth provided for underway sample"
"44",NA,-110.86,19.9409,0,43,-0.02759,-0.1364,NA,"AR31A","toi_underway",2.134,NA,NA,NA,NA,NA,NA,2018-10-21 08:03:28,NA,NA,NA,NA,"missing datetime"
