"","cruise","datetime_utc","datetime_utc_input","latitude_API","longitude_API","toi_source","cast","niskin","depth","depth_input","O2_Ar_delta","O2_Ar_ratio","cap_Delta_17O","d17O","d18O","iode_quality_flag","year"
"160","EN617",2018-07-21 17:33:35,2018-07-21 17:23:00,40.5197,-70.88118,"toi_niskin","09",6,35.266,35,-90.535,20.3968,102,0.3056,0.5844,1,"2018"
"161","EN617",2018-07-21 17:35:52,2018-07-21 17:23:00,40.52033,-70.8812,"toi_niskin","09",8,19.902,20,29.286,23.084,138,-0.45,-1.134,1,"2018"
"162","EN617",2018-07-21 17:39:47,2018-07-21 17:23:00,40.52146,-70.88128,"toi_niskin","09",12,4.202,2,-5.5635,22.3024,74.3,-0.21,-0.5486,1,"2018"
"163","EN617",2018-07-21 20:03:00,2018-07-21 20:03:00,NA,NA,"toi_underway",NA,NA,0,0,-45.33,21.4106,53.1,0.08157,0.05496,1,"2018"
"164","EN617",2018-07-21 21:46:29,2018-07-21 21:39:00,40.36578,-70.77014,"toi_niskin","10",1,46.627,46,-224.06,17.4021,73.4,1.562,2.879,1,"2018"
"165","EN617",2018-07-21 21:48:43,2018-07-21 21:39:00,40.36614,-70.76962,"toi_niskin","10",3,17,17,22.795,22.9384,112,-0.4288,-1.043,1,"2018"
"166","EN617",2018-07-21 21:50:12,2018-07-21 21:39:00,40.36651,-70.7689,"toi_niskin","10",5,7.901,3,-54.811,21.1979,45.3,0.1491,0.2005,1,"2018"
"167","EN617",2018-07-21 22:26:00,2018-07-21 22:26:00,NA,NA,"toi_underway",NA,NA,0,0,-56.476,21.1606,59.6,0.1884,0.2488,1,"2018"
"168","EN617",2018-07-21 22:36:00,2018-07-21 22:36:00,NA,NA,"toi_underway",NA,NA,0,0,-53.505,21.2272,65.3,0.1643,0.191,1,"2018"
"169","EN617",2018-07-21 22:51:00,2018-07-21 22:51:00,NA,NA,"toi_underway",NA,NA,0,0,-49.022,21.3278,49.9,0.1303,0.1552,1,"2018"
"170","EN617",2018-07-21 23:24:05,2018-07-21 23:17:00,40.36632,-70.9887,"toi_niskin","11",1,31.73,32,-210.39,17.7088,79.6,1.434,2.619,1,"2018"
"171","EN617",2018-07-21 23:26:05,2018-07-21 23:17:00,40.3667,-70.9886,"toi_niskin","11",3,17.44,17,26.267,23.0163,132,-0.4801,-1.181,1,"2018"
"172","EN617",2018-07-21 23:27:53,2018-07-21 23:17:00,40.36684,-70.9889,"toi_niskin","11",5,5.368,3,-33.526,21.6753,62.5,0.01086,-0.09967,1,"2018"
"173","EN617",2018-07-22 00:44:00,2018-07-22 00:44:00,NA,NA,"toi_underway",NA,NA,0,0,-43.482,21.452,57.3,0.09694,0.07651,1,"2018"
"174","EN617",2018-07-22 02:20:14,2018-07-22 02:08:00,40.36838,-70.88932,"toi_niskin","12",8,40.272,50,-216.06,17.5816,94.7,1.505,2.728,3,"2018"
"175","EN617",2018-07-22 02:25:56,2018-07-22 02:08:00,40.36938,-70.88922,"toi_niskin","12",17,14.538,28,48.441,23.5136,135,-0.5049,-1.235,3,"2018"
"176","EN617",2018-07-22 02:28:00,2018-07-22 02:08:00,40.36968,-70.88926,"toi_niskin","12",21,4.776,3,-45.953,21.3966,59.2,0.1155,0.1087,1,"2018"
"177","EN617",2018-07-22 05:15:19,2018-07-22 05:00:00,40.23852,-70.89093,"toi_niskin","13",7,55.346,3,-41.281,21.5014,62.6,0.06834,0.01111,3,"2018"
"178","EN617",2018-07-22 05:16:58,2018-07-22 05:00:00,40.23896,-70.89054,"toi_niskin","13",9,38.289,38,-185.54,18.266,67.5,1.17,2.131,1,"2018"
"179","EN617",2018-07-22 05:20:34,2018-07-22 05:00:00,40.23997,-70.88964,"toi_niskin","13",14,21.61,21,23.355,22.951,122,-0.4011,-1.01,1,"2018"
"180","EN617",2018-07-22 09:06:18,2018-07-22 08:58:00,40.14082,-70.75892,"toi_niskin","14",2,128.995,0,-283.18,16.0762,37.3,1.889,3.581,4,"2018"
"181","EN617",2018-07-22 09:12:19,2018-07-22 08:58:00,40.14204,-70.75856,"toi_niskin","14",6,80.403,80,-233.42,17.1922,63.6,1.638,3.045,1,"2018"
"182","EN617",2018-07-22 09:15:10,2018-07-22 08:58:00,40.14254,-70.75846,"toi_niskin","14",8,61.09,61,-209.07,17.7383,74.4,1.452,2.663,1,"2018"
"183","EN617",2018-07-22 09:18:09,2018-07-22 08:58:00,40.14338,-70.7591,"toi_niskin","14",11,39.035,39,-126.01,19.6011,106,0.7429,1.231,1,"2018"
"184","EN617",2018-07-22 09:23:17,2018-07-22 08:58:00,40.14481,-70.75986,"toi_niskin","14",16,17.729,18.5,2.6523,22.4867,100,-0.2614,-0.6976,1,"2018"
"185","EN617",2018-07-22 09:26:23,2018-07-22 08:58:00,40.14536,-70.7594,"toi_niskin","14",18,6.875,7,-50.414,21.2966,48,0.09332,0.08755,1,"2018"
"186","EN617",2018-07-22 09:26:23,2018-07-22 08:58:00,40.14536,-70.7594,"toi_niskin","14",18,6.875,7,-50.483,21.295,48,0.09733,0.09533,1,"2018"
"187","EN617",2018-07-22 09:27:00,2018-07-22 09:27:00,NA,NA,"toi_underway",NA,NA,0,0,-53.283,21.2322,44.6,0.1255,0.1563,1,"2018"
"188","EN617",2018-07-22 09:28:00,2018-07-22 09:28:00,NA,NA,"toi_underway",NA,NA,0,0,-53.698,21.2229,47.6,0.1265,0.1524,1,"2018"
"189","EN617",2018-07-22 12:49:00,2018-07-22 12:49:00,NA,NA,"toi_underway",NA,NA,0,0,-63.466,21.0038,47.2,0.217,0.3279,1,"2018"
"190","EN617",2018-07-22 13:47:44,2018-07-22 13:38:00,40.0915,-70.77935,"toi_niskin","15",1,37.248,36,-12.989,22.1359,137,-0.1684,-0.5893,1,"2018"
"191","EN617",2018-07-22 13:51:29,2018-07-22 13:38:00,40.09012,-70.77852,"toi_niskin","15",3,2.884,3,-44.783,21.4228,46.5,0.07323,0.05159,1,"2018"
"192","EN617",2018-07-22 14:32:00,2018-07-22 14:32:00,NA,NA,"toi_underway",NA,NA,0,0,-43.65,21.4482,54.8,0.09102,0.07001,1,"2018"
"193","EN617",2018-07-22 14:58:00,2018-07-22 14:58:00,NA,NA,"toi_underway",NA,NA,0,0,-41.408,21.4985,58.9,0.08737,0.05495,1,"2018"
"194","EN617",2018-07-22 15:13:00,2018-07-22 15:13:00,NA,NA,"toi_underway",NA,NA,0,0,-42.729,21.4689,55.4,0.09958,0.08539,1,"2018"
"195","EN617",2018-07-22 15:57:57,2018-07-22 15:46:00,40.09409,-70.99144,"toi_niskin","16",1,32.956,33,-146.92,19.1321,98.4,0.9028,1.554,1,"2018"
"196","EN617",2018-07-22 17:00:00,2018-07-22 17:00:00,NA,NA,"toi_underway",NA,NA,0,0,-49.855,21.3091,40.3,0.1288,0.171,1,"2018"
"197","EN617",2018-07-22 18:33:40,2018-07-22 18:17:00,40.0969,-70.87188,"toi_niskin","17",8,42.104,42,-164.44,18.7393,92.7,1.096,1.939,1,"2018"
"198","EN617",2018-07-22 18:36:21,2018-07-22 18:17:00,40.09658,-70.87122,"toi_niskin","17",14,21.325,21,44.311,23.421,133,-0.4937,-1.21,1,"2018"
"199","EN617",2018-07-22 18:38:24,2018-07-22 18:17:00,40.09628,-70.87082,"toi_niskin","17",18,6.385,3,-31.351,21.7241,59.9,-0.007699,-0.1304,1,"2018"
"200","EN617",2018-07-22 22:01:22,2018-07-22 21:46:00,39.9493,-70.88157,"toi_niskin","18",7,54.988,55,-209.73,17.7236,76,1.527,2.806,1,"2018"
"201","EN617",2018-07-22 22:08:32,2018-07-22 21:46:00,39.94903,-70.88009,"toi_niskin","18",15,4.741,3,-66.582,20.9339,39.5,0.1988,0.3076,1,"2018"
"202","EN617",2018-07-23 07:10:00,2018-07-23 07:10:00,NA,NA,"toi_underway",NA,NA,0,0,-67.593,20.9113,31.4,0.2361,0.3953,1,"2018"
"203","EN617",2018-07-23 08:32:15,2018-07-23 08:08:00,39.7729,-70.75858,"toi_niskin","19",1,40.507,39,-12.757,22.1411,156,-0.2594,-0.8023,1,"2018"
"204","EN617",2018-07-23 08:35:27,2018-07-23 08:08:00,39.77277,-70.75705,"toi_niskin","19",3,4.666,5,-66.346,20.9392,30.5,0.2225,0.3707,1,"2018"
"205","EN617",2018-07-23 09:15:00,2018-07-23 09:15:00,NA,NA,"toi_underway",NA,NA,0,0,-67.47,20.914,28.3,0.2384,0.4058,1,"2018"
"206","EN617",2018-07-23 09:39:00,2018-07-23 09:39:00,NA,NA,"toi_underway",NA,NA,0,0,-60.534,21.0696,47.8,0.2093,0.312,1,"2018"
"207","EN617",2018-07-23 09:58:00,2018-07-23 09:58:00,NA,NA,"toi_underway",NA,NA,0,0,-56.824,21.1528,42.1,0.1836,0.2734,1,"2018"
"208","EN617",2018-07-23 10:44:43,2018-07-23 10:21:00,39.7701,-70.98067,"toi_niskin","20",1,44.118,44,7.7451,22.6009,157,-0.5443,-1.353,1,"2018"
"209","EN617",2018-07-23 10:48:54,2018-07-23 10:21:00,39.7698,-70.97938,"toi_niskin","20",3,5.403,6,-55.095,21.1916,33.1,0.1509,0.2274,1,"2018"
"210","EN617",2018-07-23 11:45:00,2018-07-23 11:45:00,NA,NA,"toi_underway",NA,NA,0,0,-60.303,21.0748,49.1,0.213,0.3164,1,"2018"
"211","EN617",2018-07-23 13:55:32,2018-07-23 12:59:00,39.76506,-70.86052,"toi_niskin","21",9,40.476,40,-208.14,17.7592,83,1.265,2.285,1,"2018"
"212","EN617",2018-07-23 13:57:45,2018-07-23 12:59:00,39.76476,-70.85978,"toi_niskin","21",10,30.159,30,30.819,23.1184,169,-0.5393,-1.366,1,"2018"
"213","EN617",2018-07-23 14:04:00,2018-07-23 14:04:00,NA,NA,"toi_underway",NA,NA,0,0,-57.843,21.1299,41.7,0.1852,0.2772,1,"2018"
"214","EN617",2018-07-23 14:04:05,2018-07-23 12:59:00,39.76378,-70.85765,"toi_niskin","21",19,4.622,5,-55.557,21.1812,41,0.1474,0.2055,3,"2018"
"215","EN617",2018-07-23 14:04:05,2018-07-23 12:59:00,39.76378,-70.85765,"toi_niskin","21",19,4.622,5,-55.361,21.1856,44.5,0.1522,0.2081,3,"2018"
"216","EN617",2018-07-23 14:06:00,2018-07-23 14:06:00,NA,NA,"toi_underway",NA,NA,0,0,-58.259,21.1206,43.2,0.1831,0.2702,1,"2018"
"217","EN617",2018-07-23 17:30:00,2018-07-23 17:30:00,NA,NA,"toi_underway",NA,NA,0,0,-69.319,20.8726,42.2,0.2498,0.4011,1,"2018"
"218","EN617",2018-07-23 19:20:00,2018-07-23 19:20:00,NA,NA,"toi_underway",NA,NA,0,0,-65.493,20.9584,34,0.1986,0.3179,1,"2018"
"219","EN617",2018-07-23 20:59:00,2018-07-23 20:59:00,NA,NA,"toi_underway",NA,NA,0,0,-49.879,21.3085,49.5,0.1417,0.1779,1,"2018"
"220","EN617",2018-07-23 22:17:00,2018-07-23 22:17:00,NA,NA,"toi_underway",NA,NA,0,0,-36.514,21.6083,61.6,0.05656,-0.009669,1,"2018"
"221","EN617",2018-07-24 00:18:00,2018-07-24 00:18:00,NA,NA,"toi_underway",NA,NA,0,0,-42.486,21.4744,56.7,0.07179,0.02919,1,"2018"
"222","EN617",2018-07-24 01:28:00,2018-07-24 01:28:00,NA,NA,"toi_underway",NA,NA,0,0,-15.312,22.0838,71.6,-0.03295,-0.2018,1,"2018"
"223","EN617",2018-07-24 03:39:00,2018-07-24 03:39:00,NA,NA,"toi_underway",NA,NA,0,0,-60.191,21.0773,49.4,0.211,0.3121,1,"2018"
"224","EN617",2018-07-24 04:33:00,2018-07-24 04:33:00,NA,NA,"toi_underway",NA,NA,0,0,-63.498,21.0031,33.2,0.2074,0.3365,1,"2018"
"225","EN617",2018-07-24 05:21:00,2018-07-24 05:21:00,NA,NA,"toi_underway",NA,NA,0,0,-57.378,21.1404,42.9,0.1976,0.2988,1,"2018"
"226","EN617",2018-07-24 07:30:00,2018-07-24 07:30:00,NA,NA,"toi_underway",NA,NA,0,0,-71.747,20.8181,38,0.2846,0.4764,1,"2018"
"227","EN617",2018-07-24 11:39:00,2018-07-24 11:39:00,NA,NA,"toi_underway",NA,NA,0,0,-50.439,21.296,62.3,0.1578,0.1844,1,"2018"
"228","EN617",2018-07-24 13:05:00,2018-07-24 13:05:00,NA,NA,"toi_underway",NA,NA,0,0,-50.443,21.2959,48.5,0.1348,0.1665,1,"2018"
"229","EN617",2018-07-24 14:04:00,2018-07-24 14:04:00,NA,NA,"toi_underway",NA,NA,0,0,-66.14,20.9439,46,0.2703,0.4333,1,"2018"
"230","EN617",2018-07-24 16:50:00,2018-07-24 16:50:00,NA,NA,"toi_underway",NA,NA,0,0,-54.321,21.2089,55.9,0.2123,0.3021,1,"2018"
"231","EN617",2018-07-24 18:26:00,2018-07-24 18:26:00,NA,NA,"toi_underway",NA,NA,0,0,-37.489,21.5864,66.5,0.1225,0.1082,1,"2018"
"232","EN617",2018-07-24 19:52:00,2018-07-24 19:52:00,NA,NA,"toi_underway",NA,NA,0,0,-52.144,21.2578,48.5,0.1756,0.2455,1,"2018"
"233","EN617",2018-07-24 21:08:00,2018-07-24 21:08:00,NA,NA,"toi_underway",NA,NA,0,0,-51.971,21.2616,55.3,0.1262,0.1369,1,"2018"
"234","EN617",2018-07-24 23:06:00,2018-07-24 23:06:00,NA,NA,"toi_underway",NA,NA,0,0,-47.512,21.3616,87.1,-0.43,-0.9981,1,"2018"
"235","EN617",2018-07-25 01:19:12,2018-07-25 01:16:00,41.32418,-70.58549,"toi_niskin","35",1,13.875,14,-67.332,20.9171,76.8,-0.2408,-0.613,1,"2018"
"236","EN617",2018-07-25 01:22:41,2018-07-25 01:16:00,41.32462,-70.5852,"toi_niskin","35",7,4.181,5,-63.521,21.0026,71.7,-0.2724,-0.6642,1,"2018"
"237","EN617",2018-07-25 01:22:41,2018-07-25 01:16:00,41.32462,-70.5852,"toi_niskin","35",7,4.181,5,-62.669,21.0217,72.6,-0.2804,-0.6812,1,"2018"
"238","EN617",2018-07-25 01:23:00,2018-07-25 01:23:00,NA,NA,"toi_underway",NA,NA,0,0,-65.803,20.9514,74.6,-0.2476,-0.6218,1,"2018"
"239","AR31A",2018-10-21 10:28:00,2018-10-21 10:28:00,NA,NA,"toi_underway",NA,NA,0,0,-108.21,20.0004,38.8,0.1273,0.1708,1,"2018"
"240","AR31A",2018-10-21 14:26:00,2018-10-21 14:26:00,NA,NA,"toi_underway",NA,NA,0,0,-108.93,19.9842,37.1,0.1407,0.2002,1,"2018"
"241","AR31A",2018-10-21 16:48:00,2018-10-21 16:48:00,NA,NA,"toi_underway",NA,NA,0,0,-118.02,19.7802,31.1,0.4203,0.7518,1,"2018"
"242","AR31A",2018-10-21 17:56:14,2018-10-21 17:56:00,41.1965,-70.8831666666667,"toi_niskin","006",4,3.436,3.436,-111.46,19.9274,33.8,0.1544,0.233,1,"2018"
"243","AR31A",2018-10-21 19:12:00,2018-10-21 19:12:00,NA,NA,"toi_underway",NA,NA,0,0,-117.93,19.7823,23.7,0.4131,0.7523,1,"2018"
"244","AR31A",2018-10-21 21:36:00,2018-10-21 21:36:00,NA,NA,"toi_underway",NA,NA,0,0,-140.61,19.2737,34.5,0.2741,0.4626,1,"2018"
"245","AR31A",2018-10-22 12:00:00,2018-10-22 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-120.33,19.7286,35.8,0.5068,0.9099,1,"2018"
"246","AR31A",2018-10-22 12:00:00,2018-10-22 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-108.57,19.9924,39.4,0.3756,0.6494,1,"2018"
"247","AR31A",2018-10-22 12:00:00,2018-10-22 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-110.1,19.9581,32.8,0.3816,0.6737,1,"2018"
"248","AR31A",2018-10-22 14:24:00,2018-10-22 14:24:00,NA,NA,"toi_underway",NA,NA,0,0,-109.78,19.9652,35.8,0.3725,0.6505,1,"2018"
"249","AR31A",2018-10-22 14:24:00,2018-10-22 14:24:00,NA,NA,"toi_underway",NA,NA,0,0,-108.01,20.0048,33,0.3535,0.6191,1,"2018"
"250","AR31A",2018-10-23 06:27:00,2018-10-23 06:27:00,NA,NA,"toi_underway",NA,NA,0,0,-101.89,20.142,34.3,0.2851,0.4844,1,"2018"
"251","AR31A",2018-10-23 06:27:00,2018-10-23 06:27:00,NA,NA,"toi_underway",NA,NA,0,0,-103.83,20.0986,35.1,0.2945,0.501,1,"2018"
"252","AR31A",2018-10-23 07:25:00,2018-10-23 07:25:00,NA,NA,"toi_underway",NA,NA,0,0,-105.65,20.0578,31.1,0.3175,0.5531,1,"2018"
"253","AR31A",2018-10-23 08:23:00,2018-10-23 08:23:00,NA,NA,"toi_underway",NA,NA,0,0,-94.921,20.2984,34,0.143,0.2106,1,"2018"
"254","AR31A",2018-10-23 08:25:00,2018-10-23 08:25:00,NA,NA,"toi_underway",NA,NA,0,0,-98.787,20.2117,29.7,0.1827,0.2956,1,"2018"
"255","AR31A",2018-10-23 09:23:00,2018-10-23 09:23:00,NA,NA,"toi_underway",NA,NA,0,0,-96.094,20.2721,41.8,-0.04149,-0.1608,1,"2018"
"256","AR31A",2018-10-23 09:25:00,2018-10-23 09:25:00,NA,NA,"toi_underway",NA,NA,0,0,-95.188,20.2924,35.8,-0.06155,-0.188,1,"2018"
"257","AR31A",2018-10-23 10:22:00,2018-10-23 10:22:00,NA,NA,"toi_underway",NA,NA,0,0,-144.65,19.183,41.6,0.3286,0.5543,1,"2018"
"258","AR31A",2018-10-23 10:24:00,2018-10-23 10:24:00,NA,NA,"toi_underway",NA,NA,0,0,-146.72,19.1367,37.4,0.333,0.5709,1,"2018"
"259","AR31A",2018-10-23 12:00:00,2018-10-23 12:00:00,NA,NA,"toi_underway",NA,NA,0,0,-115.78,19.8306,38.3,0.4577,0.8102,1,"2018"
