"datetime_utc_matlab","O2_Ar_ratio","latitude_matlab","longitude_matlab","biosat","cruise","depth"
NA,20.4465,41.0307,-70.663,0.3071,"EN608",5
NA,19.3218,39.7738,-70.5734,-5.194,"EN627",5
