package_no,package_id,cruise_id,season,year,toi_input,eims_input,metadata_file,folder,ncp_gop_input,ncp_hifreq_input,gop_product,hifreq_product,discreterates_cols,ncp_matlab,gop_matlab,dataset_title
13,knb-lter-nes.13.2,EN608,winter,2018,bottleEN608.csv,RaEN608withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2018-pkg13,discreteratesEn608,ncplterEn608,gop-transect-2018,ncp-transect-2018,6,ncplterEn608.mat,discreteratesEn608.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2018"
13,knb-lter-nes.13.2,EN617,summer,2018,bottleEN617withoutincubation.csv,RaEN617withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2018-pkg13,discreteratesEn617,ncplterEn617,gop-transect-2018,ncp-transect-2018,6,ncplterEn617.mat,discreteratesEn617.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2018"
13,knb-lter-nes.13.2,AR31A,fall,2018,bottleAr31.csv,RaAR31withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2018-pkg13,discreteratesAr31,ncplterAr31,gop-transect-2018,ncp-transect-2018,8,ncplterAr31.mat,discreteratesAr31.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2018"
14,knb-lter-nes.14.2,EN627,winter,2019,bottleEN627.csv,RaEN627withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2019-pkg14,discreteratesEn627,ncplterEn627,gop-transect-2019,ncp-transect-2019,8,ncplterEn627.mat,discreteratesEn627.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2019"
14,knb-lter-nes.14.2,AR34B,spring,2019,bottleAr34.csv,RaAr34withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2019-pkg14,discreteratesAr34,ncplterAr34,gop-transect-2019,ncp-transect-2019,8,ncplterAr34.mat,discreteratesAr34.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2019"
14,knb-lter-nes.14.2,EN644,summer,2019,bottleEN644.csv,RaEN644withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-2019-pkg14,discreteratesEn644,ncplterEn644,gop-transect-2019,ncp-transect-2019,9,ncplterEn644.mat,discreteratesEn644.mat,"Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes, from seasonal NES-LTER Transect cruises in 2019"
7,knb-lter-nes.7.2,EN617,summer,2018,bottleEN617withoutincubation.csv,RaEN617withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-summer-2018,discreteratesEn617,ncplterEn617,gop-transect-en617,ncp-transect-en617,6,ncplterEn617.mat,discreteratesEn617.mat,"DEPRECATED: Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes (TOI), from NES-LTER Transect cruise summer 2018"
15,knb-lter-nes.15.2,EN644,summer,2019,bottleEN644.csv,RaEN644withbiosat.csv,ncp-gop-transect-info,ncp-gop-transect-summer-2019,discreteratesEn644,ncplterEn644,gop-transect-en644,ncp-transect-en644,9,ncplterEn644.mat,discreteratesEn644.mat,"DEPRECATED: Net community production (NCP) and gross oxygen production (GOP), based on oxygen-argon ratios and triple oxygen isotopes (TOI), from NES-LTER Transect cruise summer 2019."
